trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,trunk_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,multi_init_lr,multi_main_lr,multi_init_epochs,multi_main_epochs,source_weight,target_weight,contrast_weight,per_scenario_branch,branch_layers
Trial1,0.8773,0.8873,0.8823,0.8858,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial2,0.8744,0.8856,0.88,0.8837,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,False,[]
Trial3,0.8857,0.8893,0.8875,0.8908,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial4,0.885,0.8896,0.8873,0.8908,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,False,[]
Trial5,0.8325,0.8692,0.8509,0.8547,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial6,0.8314,0.8691,0.8502,0.854,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,False,[]
