trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,trunk_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,multi_init_lr,multi_main_lr,multi_init_epochs,multi_main_epochs,source_weight,target_weight,contrast_weight,per_scenario_branch,branch_layers
Trial15,0.9639,0.9071,0.9355,0.9371,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial16,0.9628,0.9038,0.9333,0.9352,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial17,0.963,0.9053,0.9342,0.936,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial18,0.9625,0.9031,0.9328,0.9347,"[{'type': 'GRU', 'units': 38, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 19, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 2]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial19,0.9498,0.9069,0.9284,0.93,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial20,0.9463,0.9031,0.9247,0.9268,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",90,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial21,0.9485,0.19073,0.9279,0.9304,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial22,0.95,0.9071,0.9285,0.9304,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
Trial23,0.9474,0.9065,0.927,0.9295,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,False,[]
Trial24,0.9481,0.9063,0.9272,0.9302,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",120,0.008,0.001,10,35,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,1.0,False,[]
