trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,trunk_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,multi_init_lr,multi_main_lr,multi_init_epochs,multi_main_epochs,source_weight,target_weight,contrast_weight,per_scenario_branch,branch_layers
Trial1,0.8647,0.8668,0.8658,0.8696,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
Trial2,0.8674,0.8761,0.8718,0.8762,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
Trial3,0.8753,0.8749,0.8751,0.8788,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
Trial4,0.8774,0.8799,0.8786,0.8815,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 0, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
Trial5,0.8504,0.862,0.8562,0.8613,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
Trial6,0.8615,0.8676,0.8646,0.868,"[{'type': 'GRU', 'units': 32, 'return_sequences': True, 'name': 'lay1', 'trainable': True}, {'type': 'GRU', 'units': 16, 'dropout': 0.0, 'return_sequences': True, 'name': 'lay2', 'trainable': True}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,50,1.0,1.0,0.5,True,"[{'type': 'GRU', 'units': 16, 'return_sequences': False, 'name': 'branch_gru3', 'trainable': True}]"
