datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori
2006-11-14,SCHISM,slr_base,5,13238.49,12677.38,3213.67,8685.25,6508.46,1.0,0.0,,,92.2,95.8,-1162.64,-490.26,-490.26,698.09,626.79,605.72,691.46,520.24,834.29,19715.97,12405.97,10061.92,3627.83,727.5,7335.79,2275.87,323.29,259.64,573.74,700.58,337.0,13488.53,1058.33,12333.77,9881.85,11751.31,1280.31,171.25,1667.54,7341.62,10061.74,28012.61,403.33,520.24,605.72,12455.88,15000.65,14535.36,476.2,401.21,453.8,647.41
2006-11-15,SCHISM,slr_base,5,14228.99,13566.48,3341.38,8882.93,7516.64,1.0,0.0,,,91.6,53.1,-1117.69,-444.89,-444.89,631.59,518.14,350.26,708.46,505.93,732.47,20398.75,13496.9,10330.09,4947.55,1104.9,7421.55,2982.34,479.37,302.48,599.04,712.81,315.36,13099.75,1184.23,12050.15,10082.55,12178.11,1822.02,175.16,2499.33,7434.63,10327.52,29262.61,370.11,505.93,350.26,13801.97,15050.29,15758.53,450.21,429.45,467.33,592.98
2006-11-16,SCHISM,slr_base,5,15349.64,14782.03,3464.28,9512.14,8522.86,1.0,0.0,,,91.0,14.8,-764.11,48.92,48.92,583.57,488.02,378.0,696.85,500.03,724.4,20351.32,13372.9,10187.58,4582.2,1056.1,7040.88,2885.97,476.63,359.87,637.42,708.46,283.56,12534.07,1195.31,12012.1,10090.47,12712.19,1880.05,567.67,2466.83,7056.14,10185.18,28673.72,393.55,500.03,378.0,14606.56,15725.76,16898.96,436.44,436.02,473.88,532.43
2006-11-17,SCHISM,slr_base,5,16350.52,15775.31,3519.44,9893.19,9184.1,1.0,0.0,,,90.6,43.4,-749.28,72.7,72.7,548.38,486.12,394.61,701.83,492.87,711.36,20296.67,13289.34,9974.16,4227.15,892.11,6716.22,2723.52,465.64,397.59,665.3,700.58,250.57,12385.57,1223.88,11976.4,9883.4,13104.79,1801.41,457.4,2262.72,6731.9,9971.4,28526.37,415.44,492.87,394.61,15074.27,16216.29,17367.31,476.63,446.82,480.64,526.55
2006-11-18,SCHISM,slr_base,5,17418.9,16637.02,3525.11,9774.87,11064.4,1.0,0.0,,,89.6,48.0,-56.75,851.2,851.2,551.11,497.72,392.27,720.47,479.79,710.94,20108.71,13081.8,9761.0,3890.47,756.44,6381.81,2552.33,462.05,416.93,686.48,710.11,215.96,12544.35,1230.92,11923.76,9454.22,13370.39,1679.77,155.37,2083.06,6396.31,9757.73,28349.95,420.11,479.79,392.27,15260.09,16387.93,17562.0,544.19,451.9,497.72,527.81
2006-11-19,SCHISM,slr_base,5,18060.22,17270.07,3516.33,9737.75,12115.21,1.0,0.0,,,89.2,68.2,344.61,1219.83,1219.83,557.4,501.09,396.31,724.61,465.64,720.47,19710.18,12677.87,9219.2,3301.61,553.63,5910.4,2300.43,525.91,429.45,692.29,720.47,239.34,12714.04,1223.88,11786.4,9049.14,13434.5,1521.88,164.94,1745.38,5922.47,9217.3,27926.3,426.69,465.64,396.31,15239.76,16290.15,17481.54,604.05,457.19,525.7,534.11
2006-11-20,SCHISM,slr_base,5,18411.18,17539.08,3485.47,9904.97,12190.91,1.0,0.0,,,88.8,64.3,263.53,1151.1,1151.1,547.33,474.09,384.18,740.32,459.51,730.19,19626.38,12499.36,8890.28,2915.46,432.63,5592.59,2150.3,494.34,444.07,682.74,730.4,329.29,12816.29,1231.93,11667.88,8685.67,13510.61,1378.56,179.72,1495.47,5606.17,8888.36,28136.99,436.23,459.51,384.18,15317.9,16191.82,17285.62,661.14,478.1,564.31,523.18
2006-11-21,SCHISM,slr_base,5,18548.27,17823.98,3432.25,9641.22,12508.82,1.0,0.0,,,88.0,102.5,272.02,1203.09,1203.09,546.7,475.57,371.39,756.65,444.07,740.32,19824.8,12439.02,8723.31,2688.35,345.55,5438.77,2085.2,435.81,450.21,669.45,744.05,320.07,12894.27,1250.41,11527.51,8513.81,13558.77,1288.33,171.25,1357.59,5451.47,8722.09,28413.29,435.81,444.07,371.39,15360.5,16196.09,17162.44,722.95,500.03,611.98,532.64
2006-11-22,SCHISM,slr_base,5,18715.73,18078.45,3370.24,9768.59,12352.54,1.0,0.0,,,87.2,316.6,351.77,1265.82,1265.82,562.43,498.35,369.05,757.06,439.2,750.66,19467.67,12057.43,8312.25,2300.62,288.94,5131.33,1943.25,405.67,447.88,686.48,759.33,216.39,12978.42,1239.36,11304.49,8574.91,13512.12,1201.55,171.25,1194.71,5144.08,8311.9,28027.12,451.05,439.2,369.05,15267.52,16211.2,17137.96,765.32,528.65,653.03,534.53
2006-11-23,SCHISM,slr_base,5,19099.25,18456.96,3298.81,9669.82,12648.32,1.0,0.0,,,87.0,246.7,166.78,1090.57,1090.57,573.32,488.44,380.77,767.38,439.2,760.16,18997.82,11683.49,7993.21,1910.98,277.1,4804.09,1817.31,424.99,426.69,696.23,759.95,182.98,13056.47,1218.66,11115.99,8620.1,13480.84,1046.77,195.14,1011.84,4816.91,7990.92,27813.54,477.47,439.2,380.77,15138.61,16205.61,17087.35,763.04,568.08,702.45,522.76
2006-11-24,SCHISM,slr_base,5,19720.1,19076.41,3216.67,9150.79,13594.05,1.0,0.0,,,86.4,193.4,1.48,920.73,920.73,569.34,537.47,391.85,779.96,439.2,760.16,19206.62,11622.92,7651.89,1788.64,257.91,4667.09,1764.46,408.01,423.93,712.39,774.39,181.46,13118.37,1227.9,11016.76,8298.6,13537.87,955.85,189.72,960.33,4675.72,7650.65,27538.51,507.83,439.2,391.85,15081.22,16256.18,16914.66,764.49,598.41,739.91,523.81
2006-11-25,SCHISM,slr_base,5,20132.92,19531.55,3119.54,9348.44,13592.57,1.0,0.0,,,85.4,242.2,-69.26,850.34,850.34,578.13,567.46,403.33,786.55,441.53,778.31,18906.73,11295.98,7255.78,1705.01,244.09,4427.73,1684.9,389.93,420.32,722.74,779.55,181.9,13144.2,1233.94,10893.55,7822.18,13512.28,938.51,192.1,899.27,4436.02,7252.95,27413.79,534.11,441.53,403.33,14924.83,16206.43,16771.07,752.52,620.95,754.79,567.46
2006-11-26,SCHISM,slr_base,5,20436.8,19859.66,3025.23,9795.74,13052.13,1.0,0.0,,,85.0,193.5,-420.66,398.25,398.25,601.96,589.01,417.78,799.74,455.28,779.96,18428.08,10769.87,6667.54,1510.57,227.44,4159.76,1616.77,376.08,413.53,732.88,791.29,192.1,13113.0,1237.95,10733.97,7339.15,13406.88,896.82,211.63,849.07,4169.58,6664.51,27615.53,553.83,455.28,417.78,14693.99,15886.26,16589.03,754.17,638.04,752.93,598.41
2006-11-27,SCHISM,slr_base,5,20736.35,20089.09,2944.75,10161.28,12665.9,1.0,0.0,,,84.4,304.1,-549.81,265.29,265.29,667.17,613.24,428.39,799.74,466.7,796.85,18173.4,10423.4,6509.71,1343.19,223.54,3966.01,1533.59,367.34,412.26,736.19,795.21,195.14,13035.83,1240.16,10524.85,6519.89,13238.07,856.87,198.18,793.56,3973.08,6508.63,26879.31,569.13,466.7,428.39,14529.05,15849.89,16276.86,784.91,645.12,770.27,621.37
2006-11-28,SCHISM,slr_base,5,20811.06,20099.25,2880.56,10191.04,12511.54,1.0,0.0,,,83.2,331.5,-657.54,161.22,161.22,667.17,619.7,446.18,799.74,481.48,799.74,17272.57,9696.65,6061.94,1146.53,224.41,3551.96,1414.27,359.87,400.99,739.29,799.74,197.96,12964.82,1226.3,10261.78,5919.22,13038.51,821.13,197.1,741.98,3558.71,6060.14,25896.84,590.05,481.48,446.18,14194.43,15589.81,15854.99,746.52,662.39,789.23,624.92
