datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori
2011-10-18,SCHISM,franks,2,23605.95,22320.55,5053.27,10840.83,18244.17,1.0,0.0,3.57,0.22,90.2,54.2,479.98,1813.03,1813.03,674.65,575.62,564.52,687.31,502.56,791.5,18760.96,12567.09,10092.36,3099.69,564.73,7490.8,2278.0,351.75,262.23,569.13,700.58,337.0,13229.19,1032.15,12297.15,9863.58,11773.69,1277.7,171.25,1629.82,7494.86,10093.04,21692.72,387.59,502.56,564.52,12247.86,15030.6,14505.97,459.51,407.58,463.11,596.32
2011-10-19,SCHISM,franks,2,22376.62,21397.44,4815.34,10249.73,17258.07,1.0,0.0,4.25,0.15,88.6,58.2,374.04,1598.54,1598.54,569.76,378.86,323.72,364.35,463.32,694.78,18463.65,12946.18,9938.69,3829.74,648.45,7525.94,2831.13,479.16,324.58,641.38,438.98,306.77,12244.82,1204.77,12110.17,9977.26,11841.97,2001.04,398.44,2432.57,7538.12,9938.17,24715.3,377.58,463.32,323.72,13489.04,14720.52,15601.52,473.67,426.69,455.71,500.46
2011-10-20,SCHISM,franks,2,21683.07,20764.79,4793.1,10257.81,16646.88,1.0,0.0,4.72,0.14,87.4,48.0,476.53,1714.03,1714.03,373.53,376.94,369.26,317.93,420.96,359.02,17960.18,12209.86,8835.12,2883.69,428.6,6750.79,2637.45,410.56,372.67,658.02,309.13,245.17,11852.64,1270.68,12015.99,10001.35,12183.68,1804.94,357.52,1970.79,6762.91,8834.25,24164.3,409.71,420.96,369.26,14176.96,14842.01,15931.66,455.92,414.38,447.24,370.11
2011-10-21,SCHISM,franks,2,21179.1,20247.29,4683.46,9773.1,16499.73,1.0,0.0,4.94,0.14,85.8,49.4,459.67,1738.07,1738.07,370.97,380.56,384.39,331.0,418.84,336.35,17295.68,11307.38,7777.31,2298.3,417.99,5894.18,2375.72,486.97,402.06,455.07,323.08,204.47,12032.73,1300.96,12008.71,9338.77,12542.33,1548.66,209.24,1617.36,5905.35,7776.07,23688.54,414.38,418.84,384.39,14413.28,14970.19,15796.56,466.07,412.68,457.82,364.14
2011-10-22,SCHISM,franks,2,21024.65,19788.71,4848.45,11502.75,14806.09,1.0,0.0,4.93,0.11,84.6,55.0,490.74,1803.31,1803.31,354.53,383.33,366.49,321.36,438.77,338.71,16655.87,10319.11,6661.12,1784.71,340.42,5049.81,2071.38,427.33,423.72,347.48,323.72,227.65,12298.0,1297.35,11990.78,8251.68,12771.74,1329.39,171.25,1314.18,5059.3,6659.33,23317.74,398.65,438.77,366.49,14384.36,14905.12,15388.23,480.0,423.72,485.49,365.63
2011-10-23,SCHISM,franks,2,20575.58,19033.25,4815.59,12049.64,13771.61,1.0,0.0,4.58,0.06,84.4,155.8,585.87,1891.03,1891.03,342.13,376.3,359.66,339.35,431.99,332.5,16027.54,9529.1,5857.23,1444.95,287.0,4412.61,1861.44,391.42,419.9,337.0,331.0,222.68,12512.68,1289.13,11959.14,7068.04,12896.12,1177.99,166.25,1110.97,4422.38,5855.97,23116.92,398.87,431.99,359.66,14190.11,14703.44,14858.58,496.45,442.59,516.66,352.18
2011-10-24,SCHISM,franks,2,20167.15,18607.97,4947.3,10832.09,14571.5,1.0,0.0,4.07,0.03,84.2,288.1,577.24,1841.92,1841.92,356.88,387.59,362.01,327.36,418.84,339.14,16066.98,9301.53,5700.01,1248.0,253.38,4103.6,1754.43,393.55,416.5,325.43,330.36,190.58,12675.51,1358.58,11957.61,6207.6,13006.28,1089.53,160.38,962.78,4108.98,5698.39,23442.2,415.44,418.84,362.01,13996.09,14543.66,14395.66,500.46,465.43,549.64,365.85
2011-10-25,SCHISM,franks,2,19731.44,18490.45,4812.01,10677.56,14045.3,1.0,0.0,3.4,0.07,83.0,292.6,472.01,1742.82,1742.82,354.53,402.06,390.14,325.86,432.84,330.15,15799.33,8902.97,5424.62,1082.44,233.71,3720.2,1603.32,393.34,412.04,334.64,319.86,168.2,12848.4,1366.58,11905.65,5672.18,13074.09,1004.72,155.59,852.35,3724.5,5424.44,22961.11,434.75,432.84,390.14,13822.49,14335.99,14069.4,511.4,488.23,562.43,373.95
2011-10-26,SCHISM,franks,2,19603.04,18623.75,4956.54,10583.57,14054.75,1.0,0.0,2.72,0.06,81.4,168.2,246.95,1535.83,1535.83,363.07,419.69,398.44,311.28,448.3,331.22,14696.74,7951.23,4559.21,753.55,208.38,3186.5,1409.29,349.19,392.27,337.0,315.57,160.16,12934.59,1308.57,11684.33,5376.71,13004.94,882.9,150.37,687.93,3190.28,4558.48,22725.12,470.93,448.3,398.44,13540.54,13964.09,13627.29,533.06,510.14,563.9,385.89
2011-10-27,SCHISM,franks,2,18902.21,17926.19,4784.3,10548.57,13148.22,1.0,0.0,2.12,0.01,80.4,133.3,143.59,1422.4,1422.4,358.8,438.56,410.98,316.43,464.8,327.58,13538.97,6967.7,3637.56,551.32,191.45,2719.13,1248.6,280.33,377.58,325.0,316.43,159.51,12898.47,1254.22,11372.19,5032.66,12874.28,763.66,147.97,571.23,2721.99,3637.0,22143.9,478.32,464.8,410.98,13174.38,13572.98,12970.52,531.59,520.24,560.75,383.97
