datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2009-10-29,SCHISM,cache,7,12335.26,11873.22,2348.66,6868.43,8320.96,0.0,0.0,1.76,-0.17,89.2,69.4,574.87,2025.21,2025.21,690.21,609.9,611.15,683.57,520.24,830.79,17458.41,11527.68,9625.17,2595.68,474.52,6920.06,1881.03,294.74,259.85,573.74,700.58,333.36,13370.06,945.65,12506.27,9942.13,11881.27,1229.51,171.25,1453.31,6929.31,9625.34,23870.54,390.14,520.24,611.15,11659.91,14629.79,14263.32,474.94,400.57,445.76,625.54,-0.09,-2.49
2009-10-30,SCHISM,cache,7,11801.07,11299.96,2218.05,6130.5,8438.25,0.0,0.0,2.17,-0.15,89.0,54.3,603.92,2051.2,2051.2,594.65,431.99,384.18,652.41,520.24,795.62,17644.52,11867.55,8885.93,2802.92,507.4,6776.09,2247.43,355.17,285.28,619.5,695.61,328.0,12236.04,1060.15,12160.7,9857.9,11848.24,1423.04,179.29,1648.78,6791.76,8885.58,26332.49,359.02,520.24,384.18,12685.1,13679.08,15053.76,463.95,429.87,450.84,501.72,-0.2,-1.31
2009-10-31,SCHISM,cache,7,11944.29,11389.68,2068.14,6783.51,7727.49,0.0,0.0,2.69,-0.13,89.0,45.9,544.47,1996.41,1996.41,484.86,366.91,328.65,481.9,517.29,790.47,18915.39,12116.94,8736.21,2712.06,450.84,6698.92,2565.77,443.64,310.64,650.32,579.81,316.43,11826.89,1215.84,12007.36,9746.69,11896.17,1550.25,594.86,1672.67,6712.65,8735.68,27913.33,381.41,517.29,328.65,13563.78,14024.08,15559.97,455.28,432.63,457.82,396.74,-0.17,-0.78
2009-11-01,SCHISM,cache,7,11933.06,11392.7,1880.3,6934.54,7772.62,0.0,0.0,3.4,-0.05,89.2,53.6,947.4,2078.48,2078.48,434.32,390.57,362.86,442.37,503.83,762.22,20104.68,12533.06,8781.15,2721.23,454.86,6667.54,2842.56,545.44,363.07,665.3,463.74,313.21,11882.62,1368.77,11996.53,9636.22,12152.59,1660.83,377.15,1668.13,6681.27,8781.15,28696.96,406.1,503.83,362.86,14296.75,14835.72,16225.48,483.38,426.27,462.9,389.72,-0.08,-0.13
2009-11-02,SCHISM,cache,7,11893.11,11416.19,1762.46,4428.1,10119.61,0.0,0.0,4.02,0.01,89.4,62.6,954.74,2081.02,2081.02,414.17,401.63,378.0,463.74,500.03,729.78,21095.27,13061.5,8959.83,2840.47,522.34,6647.38,3032.8,653.65,424.78,672.98,441.1,303.34,12100.71,1491.9,12049.48,9538.78,12529.19,1775.08,182.33,1720.57,6659.51,8958.44,29244.19,418.84,500.03,378.0,15054.26,15616.85,16942.93,556.14,420.75,469.24,406.31,-0.01,0.47
2009-11-03,SCHISM,cache,7,11798.87,11348.31,1725.07,4362.77,10027.24,0.0,0.0,4.6,0.19,90.8,135.3,1001.37,2102.67,2102.67,411.41,406.31,378.0,486.75,500.03,733.71,21591.47,13426.8,9072.07,2938.08,593.4,6527.75,3054.79,737.43,483.38,680.04,466.7,288.51,12362.29,1578.78,12132.99,9509.39,12948.02,1863.6,158.64,1810.44,6540.44,9069.29,29624.64,418.84,500.03,378.0,15737.28,16212.18,17559.72,643.46,433.05,483.8,405.03,0.15,0.94
2009-11-04,SCHISM,cache,7,11421.36,10961.36,1660.56,4391.26,9470.19,0.0,0.0,4.87,0.31,89.8,74.3,853.83,1871.68,1871.68,413.32,409.07,374.38,506.56,496.87,639.08,23102.93,14858.75,10234.3,3739.62,895.59,7032.18,3331.19,905.82,579.39,678.18,482.96,278.17,12653.8,1809.66,12381.01,9429.31,13630.8,1999.09,150.37,2113.78,7045.32,10232.93,30526.35,418.84,496.87,374.38,16739.98,17334.05,18346.41,795.62,435.38,535.79,408.22,0.32,1.26
2009-11-05,SCHISM,cache,7,11687.89,11202.48,1583.72,4357.29,9638.51,0.0,0.0,4.81,0.2,89.2,93.8,817.98,1809.13,1809.13,427.96,413.32,365.63,530.12,488.65,502.77,22345.54,14126.85,9585.44,3260.13,634.71,6613.65,3114.07,876.55,605.93,670.08,501.3,269.56,12942.14,1771.34,12232.66,9801.18,13769.25,2070.21,150.37,2075.27,6627.75,9583.71,30223.82,416.72,488.65,365.63,16948.98,17605.14,19100.31,880.03,451.69,558.45,413.11,0.23,1.25
2009-11-06,SCHISM,cache,7,11853.22,11384.15,1543.54,3622.33,10418.15,0.0,0.0,4.48,0.09,88.2,173.7,817.42,1728.95,1728.95,437.71,421.81,357.52,529.91,483.59,520.24,21599.48,13642.67,8822.58,2886.73,548.8,6211.91,2948.72,852.76,634.29,636.38,520.24,283.99,13087.51,1773.51,12148.54,10046.09,13885.55,1880.05,150.37,1791.59,6223.75,8821.37,29302.53,416.5,483.59,357.52,17060.07,17637.85,18942.75,945.65,470.08,593.61,424.78,0.14,0.9
2009-11-07,SCHISM,cache,7,12007.03,11343.48,1502.28,4448.48,9528.59,0.0,0.0,3.92,-0.06,86.4,151.7,619.46,1536.98,1536.98,437.29,417.35,357.52,552.16,479.79,520.66,20597.7,12811.25,8186.69,2299.85,406.95,5602.19,2716.26,840.24,631.79,616.16,526.97,304.2,13231.37,1735.74,11919.36,9429.48,13803.64,1728.26,139.49,1515.13,5614.13,8185.82,28266.4,418.84,479.79,357.52,16829.8,17680.97,18587.07,995.36,491.82,635.34,424.99,-0.03,0.26
