datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2006-11-14,dsm2,base,1004,12885.17,12309.0,2502.0,8665.53,-351.88,-639.13,287.25,7073.52,1.0,0.0,630.4,1.6,3.34,1.55,0.02,3675.34,3675.34,533.49,15200.36,623.34,669.4,6814.0,6814.0,922.78,1614.81,546.44,17216.13,16892.76,19058.01,538.29,541.22,10651.64,1268.54,10915.68,25791.04,17988.34,10084.92,533.52,466.51,578.38,17056.89,272.81,587.18,466.37,406.54,11409.14,186.56,163.91,903.72,463.08,820.49,627.8,312.02,12300.09,423.43,84.2
2006-11-15,dsm2,base,1004,13559.19,12901.0,2517.0,9095.81,-190.28,-505.42,315.14,7170.67,1.0,0.0,639.6,1.74,3.5,1.66,-0.07,3290.71,3290.71,537.37,15124.16,632.43,661.84,6095.1,6095.1,926.31,1379.25,546.7,17054.23,16731.63,18882.67,539.85,543.86,9939.65,1138.08,10022.7,24605.81,17827.14,9639.49,537.28,467.44,610.43,16141.93,269.87,599.33,480.71,377.98,10848.81,184.07,165.1,789.43,481.27,741.64,636.98,335.33,12130.59,436.15,84.2
2006-11-16,dsm2,base,1004,13679.46,13122.0,2491.0,9919.89,410.06,9.36,400.7,5840.52,1.0,0.0,625.81,1.98,3.53,1.93,0.09,3355.14,3355.14,538.05,15210.86,640.54,659.51,6123.95,6123.95,960.74,1390.1,535.83,17033.77,16620.47,18887.73,540.75,542.94,10254.31,1172.47,10080.62,25370.25,17853.26,9518.17,538.03,474.16,635.63,16389.7,272.4,605.13,496.33,388.41,10866.61,188.35,168.06,788.29,468.77,733.76,644.87,335.16,12255.76,438.06,84.2
2006-11-17,dsm2,base,1004,13951.32,13384.0,2450.0,9866.86,494.37,81.87,412.5,6040.09,1.0,0.0,608.81,2.3,3.48,2.32,0.01,3541.13,3541.13,533.05,15331.88,636.73,660.77,6341.51,6341.51,991.13,1484.31,529.4,17097.75,16642.76,19093.08,536.91,539.64,10738.05,1259.45,10326.31,25751.42,17948.1,9599.67,533.06,475.62,648.16,16767.86,278.01,608.66,510.94,413.9,10884.65,185.9,172.54,840.88,468.02,761.92,635.33,331.0,12386.02,444.42,84.2
2006-11-18,dsm2,base,1004,13845.87,13135.0,2438.0,9684.66,1545.19,1052.89,492.3,5054.02,1.0,0.0,605.8,2.73,3.59,2.84,-0.04,3422.19,3422.19,526.43,15371.62,621.0,658.88,6169.39,6169.39,1002.07,1393.99,531.35,17098.85,16641.04,19046.98,532.52,535.85,10526.86,1219.03,10121.66,25449.42,17931.62,9464.87,526.37,474.02,635.72,16508.33,281.61,610.49,524.23,411.84,10240.52,186.36,173.83,801.63,467.69,729.69,618.94,343.77,12405.08,446.3,84.2
2006-11-19,dsm2,base,1004,13604.23,12694.0,2393.0,9789.7,2074.26,1640.36,433.9,4133.27,1.0,0.0,608.3,3.07,3.67,3.49,-0.02,3654.51,3654.51,523.2,15531.64,609.52,672.65,6645.06,6645.06,1035.05,1635.32,534.1,17187.57,16701.41,19193.64,536.1,539.32,10938.22,1373.88,10767.73,26315.61,18012.04,9669.12,522.85,472.83,616.38,17185.65,290.75,599.74,534.83,442.4,9669.77,203.63,174.65,888.88,458.72,785.65,609.79,336.9,12616.64,450.44,84.2
2006-11-20,dsm2,base,1004,13519.19,12536.0,2374.0,10017.77,2230.55,1781.88,448.67,3644.86,1.0,0.0,622.89,3.37,3.78,3.96,0.01,3784.99,3784.99,526.02,15607.84,606.93,687.78,6996.38,6996.38,1043.79,1823.13,548.87,17257.31,16808.39,19281.54,545.24,549.44,11242.9,1450.73,11138.97,26896.65,18097.73,9894.61,525.69,474.14,609.73,17653.64,301.27,583.34,542.54,459.18,10448.06,217.03,175.28,980.25,467.96,848.1,609.12,336.86,12786.66,465.18,84.2
2006-11-21,dsm2,base,1004,13087.51,12143.0,2345.0,9272.36,2399.35,1898.26,501.09,3760.8,1.0,0.0,632.5,3.43,3.73,4.31,0.05,4049.68,4049.68,535.0,15719.57,608.89,716.59,7563.49,7563.49,1055.27,2146.38,571.61,17368.31,16928.14,19573.06,563.88,567.25,11723.08,1593.64,11749.47,27701.34,18282.99,10242.1,534.85,479.11,601.57,18527.07,316.22,544.33,547.48,486.86,11879.33,241.93,174.89,1129.83,484.06,952.45,621.57,338.74,12997.85,483.92,84.2
2006-11-22,dsm2,base,1004,13274.35,12311.0,2332.0,10254.7,2264.58,1801.24,463.34,3087.06,1.0,0.0,640.4,3.45,3.54,4.34,-0.04,4073.6,4073.6,548.66,15755.22,621.01,737.33,7627.6,7627.6,1053.9,2172.93,594.42,17444.36,17029.42,19699.76,583.18,587.99,11858.14,1591.3,11831.65,27546.04,18391.01,10404.4,547.97,484.95,613.01,18476.45,326.27,525.62,549.58,491.09,12432.11,248.93,174.17,1159.41,486.07,977.02,631.75,343.9,13128.22,486.07,84.2
2006-11-23,dsm2,base,1004,13420.33,12627.0,2304.0,9097.05,2347.33,1854.39,492.94,4279.94,1.0,0.0,647.1,3.35,3.49,4.31,-0.22,3878.56,3878.56,565.04,15737.29,631.93,749.4,7256.33,7256.33,1048.03,2048.73,607.75,17463.91,17094.65,19522.37,600.54,605.67,11634.19,1507.3,11479.94,26270.33,18369.85,10298.29,564.77,494.17,622.01,17789.6,330.75,533.68,549.26,484.03,12318.4,236.84,173.19,1082.24,490.17,933.58,639.89,352.15,13124.06,486.63,84.2
2006-11-24,dsm2,base,1004,13390.99,12700.0,2275.0,9203.48,2375.09,1892.01,483.08,4087.42,1.0,0.0,671.69,3.04,3.5,4.16,-0.19,3791.86,3791.86,582.44,15768.6,640.2,759.51,7194.07,7194.07,1046.87,2005.48,612.68,17466.43,17122.12,19143.48,614.09,618.24,11380.95,1491.19,11272.65,26121.49,18174.79,10044.0,581.8,509.8,629.84,17522.57,334.15,538.54,548.42,483.34,11992.89,240.92,173.9,1063.27,497.6,910.17,646.77,360.43,13248.39,493.39,84.2
2006-11-25,dsm2,base,1004,13518.0,12963.0,2260.0,9490.31,2407.17,1921.7,485.47,3880.52,1.0,0.0,681.7,2.72,3.59,3.66,-0.15,3770.63,3770.63,595.07,15785.97,648.63,766.91,7168.36,7168.36,1045.6,1935.78,622.57,17440.51,17149.64,18960.02,626.45,629.78,11526.13,1474.61,11226.49,26076.55,18037.26,10070.47,594.54,526.95,639.0,17511.99,337.59,551.41,548.51,488.25,12044.47,236.39,175.15,1043.17,510.5,907.47,667.06,365.76,13334.88,501.14,84.2
2006-11-26,dsm2,base,1004,13639.88,13100.0,2260.0,10094.93,1935.48,1585.77,349.71,3869.46,1.0,0.0,694.59,2.33,3.56,3.27,0.02,3774.05,3774.05,606.73,15807.9,670.48,775.4,7143.3,7143.3,1046.36,1902.86,627.76,17394.64,17144.69,18864.97,632.47,637.08,11535.54,1490.24,11181.76,26684.91,17939.48,10007.11,606.28,540.16,655.41,17540.03,339.25,559.21,550.37,491.75,11695.42,234.26,174.22,1027.26,524.34,905.98,680.26,369.96,13464.44,507.68,84.2
2006-11-27,dsm2,base,1004,13758.25,13151.0,2270.0,10226.31,1871.19,1510.9,360.29,3930.75,1.0,0.0,701.3,2.08,3.22,2.62,-0.04,3744.73,3744.73,619.58,15772.08,682.78,781.14,6946.32,6946.32,1055.67,1783.37,645.98,17368.3,17133.48,18899.33,641.53,646.36,11619.8,1455.94,11013.12,26289.06,17940.71,10110.31,619.51,549.85,673.54,17284.21,339.04,568.72,555.74,487.38,11086.51,212.77,175.45,989.92,545.77,888.42,692.65,373.5,13502.76,523.26,84.2
2006-11-28,dsm2,base,1004,14158.98,13500.0,2244.0,10156.49,1963.55,1550.47,413.08,4282.94,1.0,0.0,707.1,2.03,2.94,2.19,-0.33,3341.15,3341.15,631.17,15616.09,695.64,780.06,6101.23,6101.23,1053.2,1428.04,652.8,17241.53,17044.7,18570.87,644.62,648.78,10721.56,1300.73,10011.74,24136.84,17721.65,9626.92,631.0,556.86,685.16,16010.69,330.94,583.56,564.21,452.7,9239.8,199.22,178.75,857.6,566.69,799.14,701.21,374.81,13264.97,537.58,84.2
2006-11-29,dsm2,base,1004,14650.0,13600.0,2244.71,10127.64,2006.49,1572.85,433.64,4760.57,1.0,0.0,705.8,2.33,2.91,2.13,-0.58,3018.76,3018.76,638.87,15488.87,702.56,772.31,5326.65,5326.65,1046.97,1159.28,645.65,17031.33,16830.45,18059.7,644.01,647.21,9513.42,1180.55,9088.63,22475.65,17381.5,9026.92,638.77,562.35,694.23,14925.74,321.86,597.34,574.78,420.13,8661.52,195.83,182.71,761.98,583.75,744.44,707.51,376.16,12931.88,536.84,79.4
2006-11-30,dsm2,base,1004,14484.98,13400.0,2245.0,10368.74,2021.86,1595.14,426.72,4339.37,1.0,0.0,697.0,2.83,3.18,2.62,-0.6,3003.49,3003.49,637.19,15470.97,706.89,760.26,5242.34,5242.34,1053.4,1161.07,623.23,16817.43,16584.68,17644.47,634.56,636.52,8838.44,1191.53,8909.9,22327.79,17133.64,8816.48,637.14,566.66,701.16,14670.3,316.92,607.82,587.97,430.14,8975.15,199.34,179.52,759.24,575.42,743.45,707.44,372.97,12758.06,521.51,79.4
2006-12-01,dsm2,base,1004,13841.0,13400.0,2245.0,10212.25,2103.9,1668.21,435.69,3769.85,1.0,0.0,723.19,3.48,3.42,3.4,-0.38,3349.71,3349.71,622.15,15582.72,705.48,758.2,5951.13,5951.13,1080.26,1436.28,609.21,16751.57,16460.01,17713.86,618.89,621.14,9259.66,1351.49,9704.88,23865.99,17047.69,9255.09,622.16,563.31,705.08,15502.58,321.56,610.39,600.73,476.9,9518.65,215.94,177.47,884.18,574.69,828.95,700.12,368.54,12930.11,535.98,84.2
2006-12-02,dsm2,base,1004,12649.0,12216.0,2179.0,10266.84,2314.37,1879.07,435.3,2246.79,1.0,0.0,707.61,4.1,3.45,4.47,-0.29,3900.33,3900.33,608.36,15710.99,700.82,786.23,7019.35,7019.35,1115.9,1927.91,628.19,16778.18,16496.23,18320.05,621.35,624.48,10138.92,1606.84,10911.97,25485.61,17297.08,10005.86,607.84,550.11,704.05,16888.76,339.78,607.45,614.31,532.71,10352.0,244.77,178.96,1123.87,557.56,983.04,721.08,364.84,13191.72,534.89,84.2
2006-12-03,dsm2,base,1004,12483.0,12053.0,2153.0,10357.75,2369.7,1937.82,431.88,1908.55,1.0,0.0,689.61,4.43,3.65,5.47,-0.33,4206.83,4206.83,618.13,15756.75,713.07,826.81,7580.23,7580.23,1164.81,2257.31,668.21,16831.68,16532.21,18797.81,645.19,650.86,10496.97,1727.81,11520.62,25848.66,17591.88,10529.61,617.5,546.09,712.6,17439.68,358.29,608.35,625.85,563.3,11342.51,269.29,176.65,1277.43,558.49,1094.03,711.82,363.27,13275.42,535.49,84.2
2006-12-04,dsm2,base,1004,12089.0,11644.0,2137.0,8904.92,2365.17,1915.84,449.33,2955.91,1.0,0.0,669.61,4.48,3.85,5.98,-0.16,4697.03,4697.03,641.87,15874.91,714.24,883.48,8415.48,8415.48,1226.26,2729.91,712.89,17009.87,16578.65,19242.78,683.32,689.08,11053.8,1937.8,12399.3,27261.26,17975.65,11071.54,641.47,553.72,713.68,18407.63,382.05,606.4,632.27,606.8,12499.42,323.22,170.03,1509.49,547.96,1281.78,694.61,364.6,13536.29,537.85,84.2
2006-12-05,dsm2,base,1004,12099.0,11658.0,2121.0,8150.51,2363.47,1928.9,434.57,3706.02,1.0,0.0,671.7,4.3,3.82,6.08,-0.04,5108.58,5108.58,674.21,16030.05,699.52,940.09,9148.85,9148.85,1273.74,3175.41,759.54,17287.93,16715.81,19812.52,726.58,732.15,11911.22,2111.82,13152.81,28381.8,18465.07,11683.57,673.0,571.62,701.37,19330.24,404.27,605.43,635.12,646.07,13955.44,367.23,164.6,1758.98,551.46,1448.57,676.17,373.29,13805.76,555.42,86.2
