datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2011-10-18,dsm2,base,1002,20197.14,18979.4,4668.0,10934.0,1707.3,850.51,856.79,12223.84,1.0,,228.83,2.38,3.44,3.58,0.22,278.05,278.05,157.78,875.15,213.28,157.33,825.74,825.74,181.58,159.9,151.23,4430.52,4643.58,7662.89,154.62,154.47,3446.46,162.22,2252.39,15801.4,4400.25,869.47,157.83,173.38,217.66,6724.83,158.67,200.27,171.04,139.25,2312.7,125.76,124.01,139.81,194.08,141.99,217.99,199.53,1250.03,183.69,70.8
2011-10-19,dsm2,base,1002,18832.53,17938.8,4440.0,10363.0,1282.45,618.17,664.28,11627.08,1.0,,228.0,2.33,3.18,4.31,0.15,229.79,229.79,156.6,961.12,230.63,156.45,615.79,615.79,179.27,147.76,151.67,4474.72,4641.24,7360.75,154.05,153.94,3236.82,155.6,1810.43,13600.4,3923.03,810.84,156.6,174.79,227.17,5507.78,160.11,211.89,170.63,136.67,2149.2,124.86,116.6,140.1,195.7,142.7,232.22,202.34,1249.7,183.34,66.2
2011-10-20,dsm2,base,1002,17919.46,17095.1,4418.0,10382.0,1536.81,800.8,736.01,10418.65,1.0,,246.21,1.93,3.08,4.78,0.14,212.05,212.05,156.0,956.62,230.8,155.62,598.0,598.0,178.51,147.99,150.82,4397.18,4641.61,6931.32,153.52,153.39,2892.21,153.17,1733.81,12512.11,3913.3,689.18,156.01,174.8,239.46,5133.93,160.77,222.06,169.86,136.76,2040.34,125.5,117.47,139.06,204.96,140.96,234.99,201.79,1237.43,185.15,66.2
2011-10-21,dsm2,base,1002,17487.2,16658.4,4316.0,9868.0,1564.37,769.51,794.86,10370.83,1.0,,256.54,1.55,3.19,4.98,0.15,208.69,208.69,154.72,872.02,248.53,154.65,606.05,606.05,177.42,149.15,149.82,4374.58,4580.15,6689.57,152.58,152.37,2659.08,152.02,1697.08,12637.12,3761.55,720.34,154.76,172.74,244.88,5038.83,159.95,231.42,169.36,135.52,1945.61,124.01,125.3,138.99,208.87,140.63,251.51,199.9,1233.37,186.68,66.2
2011-10-22,dsm2,base,1002,16899.8,16146.9,4468.0,11620.0,1658.02,815.36,842.66,8089.78,1.0,,261.04,1.4,3.43,4.95,0.12,217.34,217.34,153.57,807.13,259.06,153.72,665.32,665.32,176.93,151.39,148.3,4364.57,4510.96,6708.76,151.1,150.97,2499.04,151.72,1822.84,13829.28,3781.5,748.54,153.58,171.92,258.68,5342.09,158.03,237.59,168.7,135.06,1629.97,124.75,119.88,138.54,218.49,139.87,260.8,199.88,1227.24,186.51,66.2
2011-10-23,dsm2,base,1002,17157.35,15746.5,4446.0,12170.0,1656.37,823.74,832.63,7776.97,1.0,,256.54,1.54,3.46,4.61,0.06,250.29,250.29,151.59,782.22,263.37,153.0,819.21,819.21,176.44,161.48,146.34,4369.22,4450.87,7167.45,148.94,148.85,2533.28,153.41,2133.01,15650.04,3949.75,908.82,151.6,169.69,266.67,6171.46,154.42,250.78,167.89,136.07,1575.51,126.04,124.21,140.25,215.76,140.62,263.77,196.74,1225.51,177.97,70.8
2011-10-24,dsm2,base,1002,16923.59,15515.5,4565.0,10971.0,1378.21,621.94,756.27,9139.38,1.0,,261.46,1.84,3.37,4.07,0.03,276.03,276.03,149.79,778.99,259.79,152.38,878.58,878.58,175.68,166.39,145.53,4409.2,4434.58,7591.09,147.57,147.53,2508.2,154.46,2251.28,16327.29,4014.88,1025.61,149.81,167.37,268.39,6495.67,152.28,260.25,166.86,136.39,1619.75,126.01,121.23,140.85,229.5,141.6,261.08,194.61,1224.87,182.47,70.8
2011-10-25,dsm2,base,1002,16075.66,14965.5,4443.0,10704.0,1244.1,482.19,761.91,8570.56,1.0,,251.13,2.11,3.4,3.38,0.08,302.23,302.23,149.99,830.13,263.12,151.45,945.73,945.73,175.01,171.55,145.05,4406.09,4466.28,7930.38,147.3,147.27,2458.12,156.1,2392.21,16367.24,4198.25,1056.69,150.1,166.05,268.6,6997.61,150.93,263.16,166.02,137.37,1666.94,126.61,123.25,141.51,212.02,141.34,263.49,195.36,1219.93,189.35,70.8
2011-10-26,dsm2,base,1002,16144.59,15281.2,4579.0,10674.0,1186.3,390.05,796.25,8863.29,1.0,,249.96,2.44,3.57,2.69,0.08,298.42,298.42,150.26,913.46,253.91,151.12,954.08,954.08,175.2,173.3,145.59,4371.01,4487.26,8099.42,147.65,147.58,2357.24,155.71,2448.09,16765.95,4432.42,1016.09,150.4,167.08,267.75,7224.76,150.91,262.76,165.75,137.69,1664.79,127.22,125.61,141.76,212.87,140.95,254.96,196.29,1214.04,187.85,70.8
2011-10-27,dsm2,base,1002,16097.96,15229.5,4419.0,10619.0,1134.91,349.73,785.18,8763.05,1.0,,239.17,2.72,3.59,2.08,0.0,343.89,343.89,150.72,1001.88,252.41,151.35,1198.77,1198.77,175.33,196.45,145.61,4411.14,4468.54,8636.04,147.98,147.95,2546.4,160.61,2985.47,17899.59,4960.36,1107.9,150.86,167.12,263.27,8369.98,149.51,262.58,167.32,138.81,1921.64,128.08,127.88,147.64,204.81,143.7,253.0,195.69,1224.06,187.42,70.8
