datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori
2009-10-29,SCHISM,franks,7,12335.26,11873.22,2348.66,6868.43,8320.96,0.0,0.0,1.76,-0.17,88.8,62.6,568.07,2018.41,2018.41,690.84,609.06,610.52,683.57,520.24,831.0,17391.44,11381.37,9576.97,2393.46,371.61,6853.53,1845.37,302.69,263.74,573.53,700.58,332.93,13366.54,909.91,12498.86,9906.66,11884.99,1226.5,171.25,1438.38,6864.03,9577.49,23723.19,389.5,520.24,610.52,11673.65,14622.66,14267.31,458.03,400.78,452.32,623.87
2009-10-30,SCHISM,franks,7,11801.07,11299.96,2218.05,6130.5,8438.25,0.0,0.0,2.17,-0.15,88.6,49.1,598.72,2046.0,2046.0,594.65,436.02,378.22,652.41,520.24,797.68,17627.92,11802.33,8795.77,2598.37,399.08,6688.4,2197.45,377.36,294.31,617.62,696.44,327.58,12233.51,1034.99,12146.85,9823.08,11852.81,1455.9,179.29,1698.51,6702.85,8795.25,26377.59,359.44,520.24,378.22,12743.99,13667.89,15032.91,448.3,430.93,460.36,508.25
2009-10-31,SCHISM,franks,7,11944.29,11389.68,2068.14,6783.51,7727.49,0.0,0.0,2.69,-0.13,88.6,40.4,538.97,1990.91,1990.91,485.28,367.55,328.86,481.9,517.08,793.35,18904.35,12055.06,8652.37,2522.38,347.69,6575.09,2491.44,476.42,342.13,647.2,585.66,316.43,11847.05,1184.64,12006.85,9697.68,11926.13,1570.46,565.99,1696.14,6589.2,8652.02,27732.41,381.84,517.08,328.86,13598.89,14055.07,15523.86,446.18,434.75,455.07,397.59
2009-11-01,SCHISM,franks,7,11933.06,11392.7,1880.3,6934.54,7772.62,0.0,0.0,3.4,-0.05,88.8,47.5,941.3,2072.38,2072.38,436.23,393.97,362.65,441.95,504.04,768.0,20031.92,12454.7,8682.18,2505.09,351.97,6535.26,2722.57,585.45,410.98,663.22,464.59,311.71,11912.08,1318.38,12004.32,9508.7,12202.77,1660.83,401.63,1662.01,6548.66,8681.31,28409.9,406.52,504.04,362.65,14307.22,14834.39,16181.97,443.43,422.02,461.2,392.48
2009-11-02,SCHISM,franks,7,11893.11,11416.19,1762.46,4428.1,10119.61,0.0,0.0,4.02,0.01,88.8,56.0,948.14,2074.42,2074.42,413.74,403.33,378.0,463.32,500.03,733.3,20876.13,12937.11,8820.5,2617.15,406.73,6503.09,2861.23,705.97,487.6,669.66,440.68,300.54,12142.29,1440.17,12062.67,9266.18,12584.1,1748.14,196.66,1696.73,6517.21,8819.28,28975.04,418.84,500.03,378.0,15015.71,15579.1,16862.18,454.01,418.84,481.27,405.03
2009-11-03,SCHISM,franks,7,11798.87,11348.31,1725.07,4362.77,10027.24,0.0,0.0,4.6,0.19,90.0,123.3,989.37,2090.67,2090.67,411.41,405.67,378.0,485.07,500.03,735.16,21367.45,13233.05,8872.01,2691.6,482.96,6366.59,2839.71,796.03,557.82,677.76,465.43,282.7,12405.47,1519.5,12146.68,9059.04,12992.52,1805.14,158.42,1774.29,6380.02,8870.97,29364.38,418.84,500.03,378.0,15645.36,16133.35,17427.13,475.99,433.05,512.67,404.18
2009-11-04,SCHISM,franks,7,11421.36,10961.36,1660.56,4391.26,9470.19,0.0,0.0,4.87,0.31,89.2,67.3,846.83,1864.68,1864.68,413.53,407.8,369.9,512.03,496.03,621.16,22837.38,14526.39,9896.32,3303.12,593.82,6835.74,3066.16,955.03,666.54,676.93,481.06,272.79,12694.02,1725.1,12383.54,8826.94,13644.67,1936.8,150.37,2046.65,6846.77,9895.29,30248.59,418.84,496.03,369.9,16571.01,17203.24,18138.68,499.82,454.23,573.53,407.8
2009-11-05,SCHISM,franks,7,11687.89,11202.48,1583.72,4357.29,9638.51,0.0,0.0,4.81,0.2,88.6,85.5,809.68,1800.83,1800.83,428.6,410.35,358.59,529.07,487.18,501.72,22163.57,13820.66,9218.34,2951.57,454.01,6363.73,2837.04,927.69,699.34,670.28,500.24,275.81,12974.22,1681.55,12224.56,8875.49,13778.43,1998.7,150.37,2002.8,6378.77,9215.04,29979.99,415.23,487.18,358.59,16732.94,17398.28,18784.24,524.02,480.21,601.34,412.68
2009-11-06,SCHISM,franks,7,11853.22,11384.15,1543.54,3622.33,10418.15,0.0,0.0,4.48,0.09,87.8,162.7,806.42,1717.95,1717.95,438.14,420.11,357.52,529.07,482.11,520.24,21382.67,13359.34,8526.21,2656.59,389.29,5991.07,2677.64,902.75,727.09,642.42,520.03,304.2,13112.33,1679.97,12120.32,9003.98,13884.22,1806.51,150.37,1766.63,6004.56,8525.16,29145.75,415.87,482.11,357.52,16829.14,17414.25,18650.66,531.17,504.88,638.46,422.87
2009-11-07,SCHISM,franks,7,12007.03,11343.48,1502.28,4448.48,9528.59,0.0,0.0,3.92,-0.06,86.0,140.1,607.86,1525.38,1525.38,437.29,419.05,357.52,551.95,479.79,520.45,20503.38,12587.47,7922.41,2140.79,314.5,5403.93,2448.55,885.76,730.19,622.41,526.13,318.79,13244.27,1652.14,11869.75,8439.74,13810.31,1652.54,139.7,1513.94,5415.91,7922.06,28107.21,424.99,479.79,357.52,16611.63,17437.72,18325.18,527.6,536.42,677.76,426.69
