datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2009-10-29,dsm2,base,1007,10707.32,10349.9,2275.0,6846.0,1736.9,965.83,771.07,4399.41,1.0,0.0,360.79,1.99,3.38,1.75,-0.15,2070.07,2070.07,492.4,13461.76,343.58,553.51,4252.64,4252.64,748.02,926.75,475.49,14926.31,14853.9,15335.77,488.23,489.15,9788.67,799.49,7492.19,21202.57,14863.31,7304.89,492.44,470.94,387.52,13055.89,280.75,326.38,686.41,356.09,10583.66,185.32,157.05,560.97,397.08,530.41,344.78,369.1,11589.86,444.06,79.4
2009-10-30,dsm2,base,1007,10098.17,9728.4,2125.0,6155.0,1826.94,1051.94,775.0,4241.23,1.0,0.0,386.57,2.24,3.43,2.17,-0.14,2208.45,2208.45,481.9,13508.77,354.7,545.05,4626.82,4626.82,744.12,1106.1,469.27,14870.87,14785.04,15563.53,476.57,478.05,10380.27,840.39,7931.95,21854.21,14956.05,7604.64,482.1,466.69,395.17,13509.09,282.65,327.93,665.16,360.41,10574.11,186.5,157.33,635.82,405.05,572.75,362.65,360.74,11727.28,432.99,79.4
2009-10-31,dsm2,base,1007,9874.7,9504.0,1959.0,6810.0,1731.98,958.31,773.67,3291.71,1.0,0.0,387.63,2.57,3.56,2.68,-0.12,2299.18,2299.18,471.86,13545.83,364.95,540.14,4914.7,4914.7,747.25,1243.4,467.87,14841.67,14716.85,15826.96,470.03,471.76,10560.1,859.26,8244.43,22387.34,15093.49,7824.06,471.98,461.46,411.67,13856.06,283.37,329.42,645.36,360.73,10567.39,192.46,159.02,686.49,410.05,600.25,384.15,353.73,11826.55,432.53,79.4
2009-11-01,dsm2,base,1007,9941.03,9533.7,1745.0,7283.0,3126.08,2526.63,599.45,1276.95,1.0,0.0,409.31,2.87,3.63,3.39,-0.04,2529.93,2529.93,465.72,13625.35,383.48,543.07,5430.65,5430.65,763.2,1489.57,466.0,14867.81,14692.43,16282.24,468.34,469.86,10862.49,930.06,8880.05,23416.13,15331.77,8229.92,465.65,452.11,428.3,14621.18,284.45,331.74,624.41,373.3,10883.37,206.86,158.39,794.67,408.88,664.26,389.8,348.86,11931.48,425.03,79.4
2009-11-02,dsm2,base,1007,9850.33,9507.3,1616.0,4421.0,3111.84,2512.28,599.56,3933.48,1.0,0.0,458.0,3.18,3.81,4.05,0.01,2818.38,2818.38,462.83,13715.78,389.09,551.29,6007.22,6007.22,774.77,1764.7,471.76,14945.81,14697.08,16799.43,469.94,472.25,11097.94,1013.21,9552.37,24061.89,15649.01,8689.61,462.55,449.23,447.2,15401.85,287.39,334.07,603.38,389.54,11135.38,227.15,159.91,915.2,412.05,741.99,402.94,346.82,12041.13,421.73,84.2
2009-11-03,dsm2,base,1007,9905.5,9585.4,1578.0,4371.0,3065.93,2478.63,587.3,4046.57,1.0,0.0,504.5,2.76,4.25,4.69,0.21,3039.85,3039.85,461.56,13831.41,398.01,560.32,6539.6,6539.6,782.99,2047.45,480.59,15090.41,14741.55,17207.25,474.42,476.44,11349.67,1070.3,10122.52,25013.66,16032.23,9070.0,461.37,448.65,488.07,16104.1,289.71,336.92,583.51,394.13,11082.73,248.78,153.96,1037.24,414.32,814.04,433.48,346.79,12182.27,421.81,84.2
2009-11-04,dsm2,base,1007,9688.18,9373.1,1523.0,4420.0,2842.26,2332.43,509.83,3948.92,1.0,0.0,528.06,2.84,4.13,4.92,0.33,3575.43,3575.43,464.22,14030.77,417.78,581.99,7470.95,7470.95,798.9,2525.02,492.95,15385.59,14875.99,18091.13,482.4,486.08,12089.23,1222.63,11256.52,28032.1,16665.65,9567.61,463.98,442.68,445.54,17919.52,295.71,338.34,565.9,416.52,12512.43,300.89,154.35,1275.95,415.2,983.23,474.9,347.7,12536.98,420.15,84.2
2009-11-05,dsm2,base,1007,9143.73,8794.5,1459.0,4392.0,2757.27,2236.96,520.31,3453.46,1.0,0.0,547.11,3.11,3.91,4.86,0.21,3545.69,3545.69,469.78,14086.1,457.26,592.45,7414.29,7414.29,802.72,2488.33,507.31,15570.09,15059.54,18703.45,492.19,495.59,12456.11,1194.76,11254.81,27475.7,17046.47,10012.08,469.43,441.12,452.98,17888.12,296.84,341.56,551.3,415.09,13347.77,267.28,157.72,1246.03,414.46,958.52,511.52,349.06,12545.61,419.94,84.2
2009-11-06,dsm2,base,1007,10169.4,9809.8,1427.0,3590.0,2505.43,2079.23,426.2,5500.96,0.41,0.0,581.22,2.85,3.76,4.54,0.11,3361.59,3361.59,476.33,14126.16,501.25,604.19,7100.79,7100.79,812.28,2293.84,516.96,15763.54,15171.63,18670.75,503.01,506.02,12280.62,1162.41,10939.04,26059.17,17226.25,9660.44,475.9,442.03,486.2,17188.12,295.83,346.0,539.04,404.49,13482.37,246.83,153.69,1167.51,419.45,913.92,534.84,349.15,12504.24,424.5,84.2
2009-11-07,dsm2,base,1007,9583.31,9183.9,1392.0,4473.0,2394.81,1892.84,501.97,4107.49,0.0,0.0,611.89,2.57,3.57,3.93,-0.06,3207.88,3207.88,484.53,14175.38,527.3,612.88,6695.34,6695.34,817.62,1985.7,530.23,15902.81,15331.75,18430.84,512.35,515.59,12153.92,1115.18,10501.51,25104.26,17193.22,9534.23,483.99,443.88,515.64,16580.22,295.63,351.27,528.3,406.73,13567.59,211.34,171.23,1009.69,427.13,818.44,558.19,350.21,12515.82,433.44,84.2
