datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,vcu,uni,rsl,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2014-01-31,SCHISM,suisun,1,7164.54,6800.74,892.43,572.18,8061.36,1.00,1.00,1.42,-0.03,89.80,119.80,696.37,1373.94,1373.94,968.69,871.22,541.25,541.25,986.82,660.72,660.72,1024.03,21786.25,15051.61,10403.16,3552.90,626.38,5469.24,1517.32,413.11,402.69,888.42,996.18,271.07,11150.75,1061.16,11804.87,10677.88,11485.56,1482.36,258.99,1951.06,5493.35,10401.96,28901.86,616.58,16312.30,16177.70,17718.72,555.72,560.54,552.16,900.29,2.38,2.30
2014-02-01,SCHISM,suisun,1,7364.58,6954.14,880.12,605.88,7464.81,1.00,1.00,1.42,-0.03,88.20,145.40,-28.62,602.11,602.11,977.65,899.07,545.24,545.24,949.53,660.72,660.72,1018.54,21170.13,14555.28,9886.84,3186.69,527.60,5077.54,1430.41,394.61,404.82,899.48,978.06,270.20,11263.82,1038.85,11705.70,10617.99,11528.87,1382.75,275.16,1799.44,5099.24,9885.47,28605.67,629.09,15996.29,16005.00,17625.97,551.32,563.27,551.11,924.01,2.35,1.92
2014-02-02,SCHISM,suisun,1,6915.63,6548.33,871.11,563.18,6924.85,1.00,1.00,1.75,0.09,87.80,100.90,-197.81,299.82,299.82,994.35,944.02,560.96,560.96,955.85,654.28,654.28,1018.75,19788.80,13409.90,8331.32,2441.62,392.48,4302.40,1270.08,350.04,407.58,918.08,939.94,265.46,11339.70,987.22,11610.87,9978.63,11518.85,1199.14,275.16,1471.22,4320.51,8330.97,28119.56,650.74,15130.67,14932.44,17095.35,540.62,566.62,549.43,961.56,2.30,1.57
2014-02-03,SCHISM,suisun,1,6823.54,6489.80,896.77,591.31,6970.96,1.00,1.00,1.47,0.09,87.40,104.10,-53.93,483.39,483.39,1002.08,958.91,583.57,583.57,957.07,646.37,646.37,1013.06,20355.49,13223.83,8495.82,2254.40,387.80,4309.24,1201.55,362.01,401.42,923.80,955.44,268.05,11423.70,994.14,11670.59,9169.95,11500.00,1083.45,275.16,1296.95,4324.20,8494.43,28334.38,675.27,15349.27,15126.21,17036.55,533.90,574.37,551.95,971.95,2.31,1.38
2014-02-04,SCHISM,suisun,1,6912.63,6608.15,894.51,572.55,7227.55,1.00,1.00,1.32,0.26,87.40,103.70,96.66,751.40,751.40,1000.04,961.76,600.08,600.08,956.66,640.75,640.75,1002.89,20400.83,13092.20,8418.59,2028.92,370.33,4040.70,1136.63,359.02,400.36,933.40,957.07,267.40,11490.14,984.58,11524.79,8987.47,11535.15,1002.28,295.17,1226.50,4058.15,8417.02,28977.35,687.10,15338.87,15115.29,17069.38,530.33,577.71,550.90,974.60,2.44,1.31
2014-02-05,SCHISM,suisun,1,7113.85,6631.30,861.66,644.91,7321.08,1.00,1.00,1.34,0.31,85.80,82.20,72.68,657.28,657.28,992.51,936.67,602.80,602.80,943.00,640.75,640.75,991.29,20656.18,13314.63,8590.09,1987.97,362.86,4037.73,1126.13,357.09,399.29,939.32,942.79,268.48,11516.98,989.26,11289.68,9170.64,11593.39,983.36,295.82,1194.91,4059.63,8588.35,29692.08,686.48,15566.07,15408.70,17448.63,530.33,576.88,550.06,959.11,2.50,1.33
2014-02-06,SCHISM,suisun,1,7702.11,6967.79,874.22,578.41,7513.91,1.00,1.00,1.61,0.16,85.40,34.10,-449.91,-188.02,-188.02,988.85,949.73,632.84,632.84,933.40,632.42,632.42,980.50,19580.36,12213.07,7284.64,1650.96,332.93,3400.26,1031.14,338.92,401.21,949.93,934.83,269.99,11481.14,959.52,10628.77,9384.31,11578.28,848.45,292.59,1038.85,3416.43,7282.87,28674.18,710.74,14791.80,14689.18,17113.31,523.81,581.06,552.37,962.58,2.38,1.50
2014-02-07,SCHISM,suisun,1,7934.97,7348.88,911.04,564.72,7188.14,1.00,1.00,1.92,0.02,85.00,-6.90,-1100.06,-886.84,-886.84,986.00,950.75,660.10,660.10,917.67,620.75,620.75,977.65,19730.12,12118.46,7055.08,1553.42,335.28,3359.43,1001.06,351.11,405.88,944.43,921.35,270.42,11449.53,983.97,10390.99,7908.35,11473.15,788.00,294.10,943.20,3376.74,7053.30,28931.54,739.50,14557.10,14759.81,16867.73,533.27,586.50,556.77,964.00,2.28,1.83
2014-02-08,SCHISM,suisun,1,9631.52,8984.13,950.01,515.30,7093.30,1.00,1.00,2.38,-0.03,84.60,-13.30,-2986.22,-2952.20,-2952.20,978.06,940.75,678.80,678.80,907.04,620.75,620.75,975.82,19848.91,12029.86,6921.66,1444.56,338.71,3406.46,972.36,359.02,420.75,936.47,911.54,280.33,11312.82,1004.52,10188.44,7396.27,11300.23,736.40,295.82,876.55,3424.70,6919.53,28722.96,756.03,14444.84,14840.69,16650.44,550.48,595.28,556.14,950.55,2.27,2.26
2014-02-09,SCHISM,suisun,1,16394.98,13564.85,997.33,1070.80,11558.12,1.00,1.00,2.98,0.03,83.80,0.70,-4762.70,-5017.81,-5017.81,962.78,926.05,697.47,697.47,899.48,610.11,610.11,963.80,19329.78,11466.36,6619.72,1182.22,332.72,3097.79,893.13,348.12,420.32,931.77,899.07,296.46,11166.93,991.29,9855.14,7358.43,11126.55,689.18,295.82,777.07,3114.83,6617.58,27675.53,754.37,14219.06,14755.84,16255.36,552.79,598.62,558.87,936.26,2.32,2.81
2014-02-10,SCHISM,suisun,1,22639.99,19402.08,999.78,1159.90,17741.52,1.00,1.00,3.58,0.06,82.40,22.10,-4716.24,-4881.50,-4881.50,944.43,899.27,742.81,742.81,916.65,600.71,600.71,956.87,18353.71,10519.71,5830.36,959.31,329.29,2681.47,799.74,340.85,412.68,925.85,898.25,283.13,11118.54,975.41,9672.13,6986.53,10974.46,619.08,298.18,659.89,2694.47,5829.28,26672.71,741.57,14230.88,14665.96,16025.06,542.93,598.41,562.43,909.50,2.32,3.42
2014-02-11,SCHISM,suisun,1,24816.20,23210.73,1007.43,3616.09,18031.15,1.00,1.00,4.21,-0.05,81.20,35.00,-4141.39,-4069.58,-4069.58,905.61,865.68,787.17,787.17,936.47,600.71,600.71,950.55,16447.94,8775.40,4357.62,671.74,329.72,2049.58,694.78,320.29,404.40,920.33,903.98,283.99,11109.17,943.00,9267.91,6238.82,10789.18,539.78,211.19,537.68,2058.14,4354.86,24870.71,710.11,13670.90,14222.39,15320.54,524.23,598.20,562.64,882.49,2.21,3.99
2014-02-12,SCHISM,suisun,1,24637.76,23545.43,989.45,6231.27,15937.66,1.00,1.00,4.78,-0.08,78.80,8.50,-3449.78,-3296.60,-3296.60,843.12,769.44,709.91,709.91,939.94,600.71,600.71,949.32,15233.82,7650.13,3402.89,526.13,305.27,1732.00,642.00,312.57,392.27,919.92,917.88,264.17,11076.27,908.68,9083.01,5092.86,10544.89,481.48,282.48,458.24,1739.08,3401.95,23927.81,644.71,13288.00,13817.82,14495.67,509.30,590.89,557.19,808.59,2.17,4.49
2014-02-13,SCHISM,suisun,1,20399.87,19429.42,964.00,6565.89,13279.11,1.00,1.00,4.85,-0.13,78.60,9.10,-1509.77,-1091.07,-1091.07,772.33,688.97,599.46,599.46,969.10,600.71,600.71,956.66,13772.93,6500.41,2590.12,438.14,290.01,1474.20,602.38,292.59,373.95,919.31,923.40,254.67,10836.34,874.70,8656.20,4066.13,10282.38,438.35,302.26,403.33,1477.78,2589.93,22885.69,616.58,12486.56,12951.89,13463.78,496.45,568.50,545.86,715.50,2.12,4.58
2014-02-14,SCHISM,suisun,1,16091.69,15200.84,939.21,5423.78,11835.89,1.00,1.00,4.62,-0.07,79.00,33.80,262.57,1205.27,1205.27,720.67,661.14,594.65,594.65,975.62,608.85,608.85,957.68,13481.68,6216.03,2442.78,411.41,298.61,1402.91,586.08,322.43,362.22,918.49,925.03,255.75,10334.04,837.78,8200.89,3232.01,9923.02,413.96,254.89,376.51,1406.50,2442.20,22765.31,598.62,11968.61,12254.95,12700.25,492.45,543.98,536.00,681.71,2.21,4.33
