datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol,ori,model_out_sf_tidal_filter,model_out_sf_tidal_energy
2011-10-18,SCHISM,base,2,23605.95,22320.55,5053.27,10840.83,18244.17,1.0,0.0,,,90.4,55.6,481.38,1814.43,1814.43,672.78,575.41,563.48,686.69,502.56,788.2,18752.55,12658.85,10102.33,3172.89,597.79,7556.65,2328.25,341.28,261.15,570.81,700.58,337.0,13231.54,1078.79,12298.17,9885.12,11770.13,1293.14,171.25,1677.6,7561.24,10102.5,21717.54,387.8,502.56,563.48,12252.76,15031.43,14502.31,481.69,408.65,455.5,594.44,0.26,-1.35
2011-10-19,SCHISM,base,2,22376.62,21397.44,4815.34,10249.73,17258.07,1.0,0.0,,,88.8,59.9,375.74,1600.24,1600.24,571.23,379.92,323.72,368.62,463.74,696.23,18534.14,13077.78,10042.82,3971.22,677.55,7641.31,2983.85,456.98,302.05,642.21,443.86,306.99,12244.99,1270.28,12105.61,9998.6,11835.37,2017.62,399.51,2489.71,7652.24,10041.62,24806.8,378.0,463.74,323.72,13498.24,14741.75,15629.04,466.7,427.54,463.11,502.35,0.07,0.92
2011-10-20,SCHISM,base,2,21683.07,20764.79,4793.1,10257.81,16646.88,1.0,0.0,,,87.6,49.7,478.23,1715.73,1715.73,375.23,378.86,369.26,317.72,422.23,363.07,18105.29,12364.82,8957.92,2998.66,448.51,6914.19,2806.74,389.08,343.2,658.64,308.92,247.33,11847.39,1348.19,12018.19,10074.13,12181.99,1822.61,350.68,2018.79,6927.53,8957.57,24282.28,412.47,422.23,369.26,14219.56,14890.88,15999.09,449.78,427.11,461.63,373.1,0.04,1.55
2011-10-21,SCHISM,base,2,21179.1,20247.29,4683.46,9773.1,16499.73,1.0,0.0,,,86.0,51.2,461.47,1739.87,1739.87,371.39,383.12,384.82,331.22,418.84,336.78,17420.51,11469.41,7899.21,2386.33,422.66,6063.38,2539.86,458.88,366.06,459.72,323.08,205.12,12026.48,1379.16,12015.82,9475.15,12549.4,1567.89,198.18,1656.68,6074.52,7897.98,23804.43,418.84,418.84,384.82,14474.74,15031.92,15883.95,489.71,416.5,462.47,364.78,0.04,1.82
2011-10-22,SCHISM,base,2,21024.65,19788.71,4848.45,11502.75,14806.09,1.0,0.0,,,84.8,57.0,492.74,1805.31,1805.31,355.17,384.61,366.7,321.79,434.75,339.14,16776.54,10490.93,6786.06,1854.38,339.78,5217.65,2224.38,401.21,386.95,348.76,323.93,223.76,12292.09,1378.36,12002.12,8430.3,12787.71,1348.79,169.51,1352.19,5226.93,6783.75,23444.25,414.81,434.75,366.7,14454.65,14979.13,15480.81,550.69,413.96,469.87,367.55,0.0,1.77
2011-10-23,SCHISM,base,2,20575.58,19033.25,4815.59,12049.64,13771.61,1.0,0.0,,,84.6,161.7,591.77,1896.93,1896.93,343.2,378.86,360.08,339.56,439.2,333.14,16111.07,9657.81,5935.98,1489.11,285.06,4557.74,1994.21,362.65,381.41,337.0,330.79,217.26,12510.65,1370.57,11969.97,7236.3,12908.38,1194.51,159.51,1138.05,4564.91,5933.99,23202.35,399.51,439.2,360.08,14255.83,14775.4,14938.57,614.49,422.66,496.66,356.88,-0.04,1.39
2011-10-24,SCHISM,base,2,20167.15,18607.97,4947.3,10832.09,14571.5,1.0,0.0,,,84.2,297.7,586.84,1851.52,1851.52,357.95,383.97,362.43,327.79,439.2,339.35,16246.04,9453.53,5793.55,1295.15,250.79,4252.86,1887.49,361.36,371.82,325.65,330.36,186.24,12678.37,1430.81,11980.8,6356.57,13029.95,1108.54,153.63,988.44,4258.78,5791.93,23566.43,413.11,439.2,362.43,14066.07,14624.82,14477.73,695.61,442.59,549.43,366.91,0.01,0.86
2011-10-25,SCHISM,base,2,19731.44,18490.45,4812.01,10677.56,14045.3,1.0,0.0,,,83.0,298.4,477.81,1748.62,1748.62,354.53,387.59,378.0,326.08,439.2,330.79,15897.5,9023.78,5504.4,1115.01,230.25,3861.23,1717.82,361.79,364.35,335.07,320.07,167.33,12858.99,1426.43,11932.9,5805.82,13102.1,1025.45,153.63,881.26,3864.59,5503.68,23048.51,429.66,439.2,378.0,13889.72,14421.09,14153.66,741.15,475.78,617.41,371.61,0.07,0.16
2011-10-26,SCHISM,base,2,19603.04,18623.75,4956.54,10583.57,14054.75,1.0,0.0,,,81.6,171.5,250.25,1539.13,1539.13,361.36,410.98,395.46,311.49,439.2,331.22,14741.87,8022.35,4596.36,768.2,206.86,3294.07,1490.5,315.79,344.7,337.0,315.57,158.64,12952.89,1343.59,11714.52,5491.17,13028.78,900.09,150.37,707.63,3300.1,4596.36,22741.89,453.59,439.2,395.46,13599.22,14042.08,13692.61,656.15,516.66,651.78,380.56,0.05,-0.56
2011-10-27,SCHISM,base,2,18902.21,17926.19,4784.3,10548.57,13148.22,1.0,0.0,,,80.4,135.6,145.89,1424.7,1424.7,358.38,431.78,399.93,316.43,445.13,328.0,13571.59,7016.91,3656.27,563.27,188.2,2813.6,1313.98,251.87,332.72,323.5,316.43,157.55,12916.11,1283.92,11413.84,5114.92,12896.46,771.3,144.71,585.45,2816.84,3655.33,22221.5,476.63,445.13,399.93,13224.16,13638.16,13012.66,615.11,538.1,644.29,383.76,-0.02,-1.18
