epoch,loss,scaled_mae,scaled_mse,val_loss,val_scaled_mae,val_scaled_mse
1,0.37273395,0.36818337,0.17615148,0.30041721,0.29798949,0.11361866
2,0.26702043,0.24417111,0.08518807,0.14444175,0.14794263,0.02352640
3,0.13014092,0.12094633,0.01852125,0.15471351,0.15570351,0.02487208
